Backwash Effluent,,,,,,,,
Day fraction,Seconds,Min,Source Pressure (Pa),Turbidity Effluent,Turbidity Influent,BW Pump control (),Raw Water Pump control (),PAC Pump control ()
0.62468229,0,0,31004.99609,1.37,5.1788,0.99999947,0.14210526,0.80305263
0.62474015,4.999104,0.0833184,30973.03516,3.39,4.9393,0.99999947,0.14210526,0.80305263
0.62479803,9.999936,0.1666656,30963.79102,8.09,4.7947,0.99999947,0.14210526,0.80305263
0.6248559,14.999904,0.2499984,30972.85352,10.73,4.8099,0.99999947,0.14210526,0.80305263
0.62491377,19.999872,0.3333312,30965.70313,78.27,4.8733,0.99999947,0.14210526,0.80305263
0.62497164,24.99984,0.416664,30955.50391,153.89,4.9054,0.99999947,0.14210526,0.80305263
0.62502951,29.999808,0.4999968,30972.40234,178.58,4.9157,0.99999947,0.14210526,0.80305263
0.62508738,34.999776,0.5833296,30940.88672,144.6,4.953,0.99999947,0.14210526,0.80305263
0.62514525,39.999744,0.6666624,30938.96875,101.4,4.9681,0.99999947,0.14210526,0.80305263
0.62520312,44.999712,0.7499952,30952.83594,67.91,4.8924,0.99999947,0.14210526,0.80305263
0.62526099,49.99968,0.833328,30919.87891,43.96,4.7748,0.99999947,0.14210526,0.80305263
0.62531885,54.998784,0.9166464,30920.93945,29.19,4.6962,0.99999947,0.14210526,0.80305263
0.62537674,60.00048,1.000008,30905.7207,19.54,4.666,0.99999947,0.14210526,0.80305263
0.6254346,64.999584,1.0833264,30907.6543,13,4.6637,0.99999947,0.14210526,0.80305263
0.62549247,69.999552,1.1666592,30911.0293,9.67,4.6655,0.99999947,0.14210526,0.80305263
0.62555035,75.000384,1.2500064,30907.64453,3.82,4.6489,0.99999947,0.14210526,0.80305263
0.62560823,80.001216,1.3333536,30902.62891,3.7,4.6265,0.99999947,0.14210526,0.80305263
0.62566609,85.00032,1.416672,30848.93164,3.55,4.588,0.99999947,0.14210526,0.80305263
0.62572396,90.000288,1.5000048,30889.46289,3.54,4.5572,0.99999947,0.14210526,0.80305263
0.62578183,95.000256,1.5833376,30880.82227,3.27,4.5345,0.99999947,0.14210526,0.80305263
0.62583971,100.001088,1.6666848,30871.00977,2.99,4.5059,0.99999947,0.14210526,0.80305263
0.62589756,104.999328,1.7499888,30869.69727,3.03,4.5016,0.99999947,0.14210526,0.80305263
0.62595544,110.00016,1.833336,30855.37891,2.82,4.5568,0.99999947,0.14210526,0.80305263
0.62601333,115.001856,1.9166976,30879.13672,2.71,4.7505,0.99999947,0.14210526,0.80305263
0.62607117,119.999232,1.9999872,30856.16797,2.81,4.9325,0.99999947,0.14210526,0.80305263
0.62612904,124.9992,2.08332,30850.41406,2.65,5.0598,0.99999947,0.14210526,0.80305263
0.62618692,130.000032,2.1666672,30836.01953,2.59,5.0924,0.99999947,0.14210526,0.80305263
0.62624478,134.999136,2.2499856,30833.75586,2.51,4.9535,0.99999947,0.14210526,0.80305263
0.62630265,139.999104,2.3333184,30833.125,2.46,4.7024,0.99999947,0.14210526,0.80305263
0.62636053,144.999936,2.4166656,30835.2207,2.57,4.459,0.99999947,0.14210526,0.80305263
0.62641835,149.995584,2.4999264,30832.2832,2.46,4.2744,0.99999947,0.14210526,0.80305263
0.62647627,154.999872,2.5833312,30812.22656,2.45,4.1431,0.99999947,0.14210526,0.80305263
0.62653414,159.99984,2.666664,30814.41602,2.44,4.0556,0.99999947,0.14210526,0.80305263
0.626592,164.998944,2.7499824,30842.00781,2.36,3.9924,0.99999947,0.14210526,0.80305263
0.62664987,169.998912,2.8333152,30860.79297,2.33,3.9497,0.99999947,0.14210526,0.80305263
0.62670774,174.99888,2.916648,30882.97852,2.26,3.905,0.99999947,0.14210526,0.80305263
0.62676557,179.995392,2.9999232,30860.09766,2.17,3.8595,0.99999947,0.14210526,0.80305263
0.62682348,184.998816,3.0833136,30899.74219,2.05,3.8162,0.99999947,0.14210526,0.80305263
0.62688136,189.999648,3.1666608,30903.80273,2,3.7666,0.99999947,0.14210526,0.80305263
0.62693924,195.00048,3.250008,30946.85547,1.95,3.7171,0.99999947,0.14210526,0.80305263
0.62699709,199.99872,3.333312,30928.89063,1.94,3.6809,0.99999947,0.14210526,0.80305263
0.62705498,205.000416,3.4166736,30946.44531,2.09,3.6503,0.99999947,0.14210526,0.80305263
0.62711286,210.001248,3.5000208,30958.20898,2.09,3.6121,0.99999947,0.14210526,0.80305263
0.6271707,214.998624,3.5833104,30965.32422,2.07,3.5564,0.99999947,0.14210526,0.80305263
0.6272286,220.001184,3.6666864,30959.97461,1.98,3.5012,0.99999947,0.14210526,0.80305263
0.62728644,224.99856,3.749976,30973.22852,1.97,3.4551,0.99999947,0.14210526,0.80305263
0.62734432,229.999392,3.8333232,31032.66016,1.88,3.422,0.99999947,0.14210526,0.80305263
0.62740219,234.99936,3.916656,31028.81445,1.84,3.3889,0.99999947,0.14210526,0.80305263
0.62746005,239.998464,3.9999744,31023.17578,1.84,3.3556,0.99999947,0.14210526,0.80305263
0.62751794,245.00016,4.083336,31072.11719,1.85,3.326,0.99999947,0.14210526,0.80305263
0.6275758,249.999264,4.1666544,31061.35938,1.86,3.2996,0.99999947,0.14210526,0.80305263
0.62763367,254.999232,4.2499872,31084.33203,1.83,3.2733,0.99999947,0.14210526,0.80305263
0.62769155,260.000064,4.3333344,31077.22266,1.78,3.2583,0.99999947,0.14210526,0.80305263
0.62774941,264.999168,4.4166528,31087.56836,1.73,3.2505,0.99999947,0.14210526,0.80305263
0.62780728,269.999136,4.4999856,31108.09766,1.7,3.2466,0.99999947,0.14210526,0.80305263
0.62786516,274.999968,4.5833328,31100.58203,1.83,3.2434,0.99999947,0.14210526,0.80305263
0.62792301,279.998208,4.6666368,31131.93164,1.8,3.2351,0.99999947,0.14210526,0.80305263
0.6279809,284.999904,4.7499984,31135.87695,1.82,3.2223,0.99999947,0.14210526,0.80305263
0.62803876,289.999008,4.8333168,31156.53906,1.79,3.2196,0.99999947,0.14210526,0.80305263
0.62809664,294.99984,4.916664,31191.98242,1.8,3.2246,0.99999947,0.14210526,0.80305263
0.62815452,300.000672,5.0000112,31144.3418,1.83,3.2361,0.99999947,0.14210526,0.80305263
0.62821236,304.998048,5.0833008,31201.95117,1.86,3.2553,0.99999947,0.14210526,0.80305263
0.62827028,310.002336,5.1667056,31176.22852,1.86,3.288,0.99999947,0.14210526,0.80305263
0.62832813,315.000576,5.2500096,31193.20898,1.99,3.3533,0.99999947,0.14210526,0.80305263
0.62838599,319.99968,5.333328,31214.16016,2.02,3.3872,0.99999947,0.14210526,0.80305263
0.62844386,324.999648,5.4166608,31217.5293,2.01,3.3955,0.99999947,0.14210526,0.80305263
0.62850173,329.999616,5.4999936,31215.83008,2,3.3932,0.99999947,0.14210526,0.80305263
0.6285596,334.999584,5.5833264,31233.44336,1.98,3.3827,0.99999947,0.14210526,0.80305263
0.62861747,339.999552,5.6666592,31227.96484,1.98,3.365,0.99999947,0.14210526,0.80305263
0.62867535,345.000384,5.7500064,31233.96094,2,3.3337,0.99999947,0.14210526,0.80305263
0.62873321,349.999488,5.8333248,31238.42969,2,3.3043,0.99999947,0.14210526,0.80305263
0.62879107,354.998592,5.9166432,31233.88672,2.02,3.2822,0.99999947,0.14210526,0.80305263
0.62884893,359.997696,5.9999616,31242.32422,2.02,3.2923,0.99999947,0.14210526,0.80305263
0.62890681,364.998528,6.0833088,31262.16211,2,3.3157,0.99999947,0.14210526,0.80305263
0.6289647,370.000224,6.1666704,31240.31445,2.05,3.3459,0.99999947,0.14210526,0.80305263
0.62902257,375.000192,6.2500032,31288.77148,2.03,3.388,0.99999947,0.14210526,0.80305263
0.62908043,379.999296,6.3333216,31276.54688,2.04,3.4298,0.99999947,0.14210526,0.80305263
0.62913832,385.000992,6.4166832,31262.42969,2.04,3.4645,0.99999947,0.14210526,0.80305263
0.62919616,389.998368,6.4999728,31308.48438,2.06,3.4896,0.99999947,0.14210526,0.80305263
0.62925405,395.000064,6.5833344,31292.48242,2.05,3.5048,0.99999947,0.14210526,0.80305263
0.62931192,400.000032,6.6666672,31304.89063,2.07,3.5096,0.99999947,0.14210526,0.80305263
0.62936978,404.999136,6.7499856,31313.18359,2.11,3.5089,0.99999947,0.14210526,0.80305263
0.62942764,409.99824,6.833304,31305.29492,2.14,3.5096,0.99999947,0.14210526,0.80305263
0.62948554,415.0008,6.91668,31306.82813,2.12,3.522,0.99999947,0.14210526,0.80305263
0.62954341,420.000768,7.0000128,31310.65234,2.11,3.5487,0.99999947,0.14210526,0.80305263
0.62960126,424.999008,7.0833168,31316.45313,2.09,3.5861,0.99999947,0.14210526,0.80305263
0.62965913,429.998976,7.1666496,31325.20508,2.07,3.6148,0.99999947,0.14210526,0.80305263
0.629717,434.998944,7.2499824,31309.58398,2.05,3.6264,0.99999947,0.14210526,0.80305263
0.62977487,439.998912,7.3333152,31362.07617,2.03,3.6296,0.99999947,0.14210526,0.80305263
0.62983274,444.99888,7.416648,31348.78906,2.02,3.6278,0.99999947,0.14210526,0.80305263
